User25287;Restaurant31;
User45110;Restaurant50;
User53493;Restaurant19;
User16630;Restaurant10;
User48335;Restaurant8;
User9619;Restaurant90;
User67625;Restaurant48;
User27976;Restaurant57;
User10527;Restaurant17;
User26355;Restaurant2;
User12571;Restaurant18;
User30307;Restaurant61;
User17802;Restaurant71;
User18767;Restaurant12;
User36277;Restaurant69;
User34746;Restaurant41;
User6985;Restaurant20;
User14851;Restaurant15;
User32797;Restaurant42;
User37056;Restaurant28;
User6350;Restaurant10;
User20166;Restaurant32;
User70499;Restaurant5;
User55150;Restaurant21;
User47916;Restaurant96;
User15614;Restaurant74;
User3131;Restaurant87;
User4789;Restaurant35;
User12014;Restaurant65;
User1897;Restaurant89;
User38786;Restaurant8;
User17562;Restaurant100;
User2809;Restaurant11;
User58641;Restaurant13;
User34659;Restaurant55;
User4463;Restaurant31;
User6721;Restaurant18;
User2291;Restaurant5;
User34073;Restaurant94;
User53147;Restaurant20;
User40051;Restaurant36;
User25922;Restaurant40;
User45831;Restaurant29;
User16328;Restaurant16;
User13574;Restaurant50;
User22001;Restaurant10;
User4377;Restaurant28;
User20773;Restaurant66;
User28853;Restaurant11;
User46641;Restaurant45;
User32742;Restaurant13;
User48216;Restaurant21;
User41515;Restaurant38;
User10058;Restaurant15;
User5544;Restaurant19;
User29142;Restaurant22;
User56917;Restaurant36;
User2192;Restaurant93;
User40716;Restaurant39;
User18816;Restaurant27;
User38578;Restaurant32;
User44918;Restaurant6;
User32873;Restaurant10;
User14956;Restaurant28;
User47535;Restaurant3;
User8879;Restaurant45;
User66328;Restaurant68;
User31734;Restaurant37;
User17919;Restaurant40;
User45124;Restaurant7;
User21894;Restaurant81;
User35797;Restaurant85;
User34819;Restaurant32;
User12701;Restaurant13;
User43603;Restaurant72;
User14890;Restaurant90;
User45918;Restaurant18;
User35854;Restaurant6;
User22264;Restaurant69;
User59775;Restaurant49;
User23467;Restaurant67;
User12622;Restaurant16;
User16809;Restaurant23;
User32792;Restaurant91;
User13250;Restaurant55;
User22592;Restaurant4;
User70453;Restaurant8;
User46452;Restaurant97;
User21558;Restaurant16;
User69678;Restaurant16;
User36837;Restaurant21;
User26173;Restaurant12;
User18135;Restaurant11;
User27331;Restaurant33;
User34298;Restaurant47;
User47048;Restaurant70;
User43439;Restaurant16;
User25396;Restaurant36;
User31687;Restaurant20;
User53947;Restaurant19;
User33351;Restaurant37;
User29164;Restaurant22;
User62201;Restaurant13;
User34461;Restaurant56;
User72646;Restaurant91;
User14710;Restaurant9;
User47281;Restaurant48;
User24901;Restaurant8;
User69778;Restaurant8;
User14046;Restaurant70;
